#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,G. Función,Des. G. Función,Función,Des. Función,Programa,Des. Programa,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Proyecto,Des. Proyecto,Presupuesto Fondos totales 2011
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,52,COMUNICACIONES,521B,DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",216,Equipos para procesos de información,21600,Equipos para procesos de información,G/521B/21600,,,,,2040.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,52,COMUNICACIONES,521B,DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22002,Material informático no inventariable,G/521B/22002,,,,,5100.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,52,COMUNICACIONES,521B,DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",227,Trabajos realizados por otras empresas y profesion,22782,Servicios de carácter informático,G/521B/22782,,,,,4080.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,52,COMUNICACIONES,521B,DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN,6,INVERSIONES REALES,60,PROYECTOS DE INVERSIÓN NUEVA,606,Equipos para procesos de información,60600,Equipos para procesos de información,G/521B/60600,,,IVCM/0000000005,INFRAESTRUCTURA Y PROYECTO CLAMBER,8420.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,52,COMUNICACIONES,521B,DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN,6,INVERSIONES REALES,61,PROYECTOS DE INVERSIÓN DE REPOSICIÓN,616,Equipos para procesos de información,61600,Equipos para procesos de información,G/521B/61600,,,IVCM/0000000003,ACONDICIONAMIENTO,4410.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,54,"INVESTIGACIÓN CIENTÍFICA, TÉCNICA Y APLICADA",541H,INVESTIGACIÓN E INNOVACIÓN VITIVINÍCOLA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNIZACIONES POR RAZÓN DEL SERVICIO,230,Dietas y locomoción,23000,A personal funcionario y no laboral,G/541H/23000,,,,,3060.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,54,"INVESTIGACIÓN CIENTÍFICA, TÉCNICA Y APLICADA",541H,INVESTIGACIÓN E INNOVACIÓN VITIVINÍCOLA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNIZACIONES POR RAZÓN DEL SERVICIO,230,Dietas y locomoción,23001,A personal laboral,G/541H/23001,,,,,2040.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,54,"INVESTIGACIÓN CIENTÍFICA, TÉCNICA Y APLICADA",541H,INVESTIGACIÓN E INNOVACIÓN VITIVINÍCOLA,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,480,A familias e instituciones sin fin de lucro,48000,A familias e instituciones sin fin de lucro,G/541H/48000,10,IVICAM,IVCM/0000000019,BECA ANÁLISIS DE FITOSANITARIOS,15000.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,54,"INVESTIGACIÓN CIENTÍFICA, TÉCNICA Y APLICADA",541H,INVESTIGACIÓN E INNOVACIÓN VITIVINÍCOLA,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,480,A familias e instituciones sin fin de lucro,48000,A familias e instituciones sin fin de lucro,G/541H/48000,10,IVICAM,IVCM/0000000016,BECA: IDENTIF. MOLEC. VARIEDADES VID,30000.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,54,"INVESTIGACIÓN CIENTÍFICA, TÉCNICA Y APLICADA",541H,INVESTIGACIÓN E INNOVACIÓN VITIVINÍCOLA,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,480,A familias e instituciones sin fin de lucro,48000,A familias e instituciones sin fin de lucro,G/541H/48000,10,IVICAM,IVCM/0000000009,CONVENIO INVESTIGACIÓN VITIVINÍCOLA UCLM,60000.0
