#Sección,b,Dirección General,d,Grupo de Función,f,Función,h,Programa,j,Capítulo,l,Artículo,n,o,Concepto,Subconcepto,r,Obligado
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111A,ACTIVIDAD LEGISLATIVA,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INST. SFL,480,A familias e instit sfl,48000,A familias e instit sfl,6580000.0
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111A,ACTIVIDAD LEGISLATIVA,7,TRANSFERENCIAS DE CAPITAL,78,A FAMILIAS E INSTIT. SFL,780,A familias e instit sfl,78000,A familias e instit sfl,25000.0
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111D,CONSEJO REGIONAL DE TRANSP Y BUEN GOBIER,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INST. SFL,480,A familias e instit sfl,48000,A familias e instit sfl,282500.0
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111D,CONSEJO REGIONAL DE TRANSP Y BUEN GOBIER,7,TRANSFERENCIAS DE CAPITAL,78,A FAMILIAS E INSTIT. SFL,780,A familias e instit sfl,78000,A familias e instit sfl,39000.0
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retr bás y ot rem alt car,10000,Retribuciones básicas,234003.07
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retr bás y ot rem p event,11000,Retribuciones básicas,13654.51
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retr bás y ot rem p event,11001,Otras remuneraciones,41630.52
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12000,Sueldos del Grupo A1 y A,72303.21
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12001,Sueldos del Grupo A2 y B,73443.05
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12002,Sueldos del Grupo C1 y C,16090.54
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12003,Sueldos del Grupo C2 y D,4941.21
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12008,Antigüedad,53495.66
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12100,Complemento de destino,123840.58
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12101,Complementos específicos,264120.03
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12148,Complemento por Incapacidad Temporal,3197.68
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),130,Retrib bás person laboral,13004,Sueldos del grupo V,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),130,Retrib bás person laboral,13008,Antigüedad,2265.55
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),131,Retrib compl pers laboral,13101,Complementos específicos,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16000,Seguridad Social,203370.21
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16001,Otras,794.98
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",162,Gtos prest sociales fun y,16202,Formación y perfeccionami,4000.0
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",212,Edif y otras construccion,21200,Edif y otras construccion,4979.15
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",213,"Maquin, instal y utillaje",21300,"Maquin, instal y utillaje",
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",214,Elementos de transporte,21400,Elementos de transporte,
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",215,Mobiliario y enseres,21500,Mobiliario y enseres,1057.77
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",216,Equip procesos informac,21600,Equip procesos informac,1317.01
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22000,Ordinario no inventariabl,1653.43
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22001,"Prensa, revistas, libros",997.5
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22002,Material informát no inv,630.41
